variable,VIF
Intercept,873.9392901993997
C(risk)[T.1],inf
C(reward)[T.1],inf
"C(habit)[T.187.0,152.0,304.0,240.0; 567.9,88.6,621.1,140.3]",2.0120474767747973
"C(habit)[T.218.0,171.0,381.0,269.0; 239.0,106.0,315.0,155.0]",2.005038100472723
"C(habit)[T.243.6,235.6,432.2,329.8; 559.0,244.0,622.0,395.0]",2.0194281529872504
"C(habit)[T.245.6,179.5,321.4,314.0; 522.4,0.3,592.0,95.5]",2.013718076011049
"C(habit)[T.373.0,80.0,504.0,148.0; 274.6,110.7,382.4,267.3]",2.013432922492538
"C(habit)[T.380.6,321.1,550.6,477.5; 263.0,267.0,421.0,435.0]",2.0026800926563806
"C(habit)[T.397.7,159.7,580.2,330.5; 252.0,92.0,346.0,149.0]",2.0120165769641507
"C(habit)[T.405.6,112.3,513.1,215.4; 464.1,197.7,614.9,334.3; 511.5,301.1,639.4,388.9]",2.003405138067259
"C(habit)[T.415.0,86.5,559.2,140.2; 66.0,157.0,285.0,279.0]",2.013459701418384
"C(habit)[T.417.7,117.1,635.5,346.0; 243.0,272.0,308.0,379.0; 438.0,230.0,494.0,291.0]",2.0141623215861695
"C(habit)[T.423.0,155.9,535.6,370.9; 238.0,99.0,314.0,160.0]",2.0050335160442625
"C(habit)[T.44.0,77.0,157.0,240.0; 253.0,96.0,346.0,147.0]",2.012017376558103
"C(habit)[T.501.0,358.4,636.2,423.4; 476.0,103.0,634.0,206.0]",2.0129488169281347
"C(habit)[T.511.7,236.3,632.2,404.5; 445.0,199.0,503.0,245.0]",2.012689905015268
"C(habit)[T.530.0,20.0,611.0,156.0; 227.6,128.8,290.8,208.0]",2.002968075751075
"C(habit)[T.94.0,305.0,239.0,416.0; 364.8,139.3,462.3,241.3]",2.0333977869885276
C(habit)[T.all_pick],inf
C(habit)[T.attack_rat],inf
C(habit)[T.bat],inf
C(habit)[T.bat_and_pick],inf
C(habit)[T.bat_and_pick_far],inf
C(habit)[T.bat_and_rat],inf
C(habit)[T.bat_fight],inf
C(habit)[T.bat_fight_and_pick],inf
C(habit)[T.bat_fight_and_rat],inf
C(habit)[T.bat_fight_rat],inf
C(habit)[T.bat_figiht],inf
C(habit)[T.bat_pick],inf
C(habit)[T.bat_pick_rat],inf
C(habit)[T.bat_rat],inf
C(habit)[T.bat_rat_pick],inf
C(habit)[T.bats],inf
C(habit)[T.both],5.015319174948815
C(habit)[T.bowl_out],2.0121068037412244
C(habit)[T.eating],2.0137337438495577
C(habit)[T.eating_and_bat_and_pick],inf
C(habit)[T.eating_bat_pick],inf
C(habit)[T.eating_bat_rat_pick],inf
C(habit)[T.fast],inf
C(habit)[T.fast_and_pick],inf
C(habit)[T.fast_far],inf
C(habit)[T.fight],3.005844172122459
C(habit)[T.fight_bat],inf
C(habit)[T.fight_rat],inf
C(habit)[T.gaze],2.013432705362434
C(habit)[T.no_food],5.012262531992165
C(habit)[T.not_sure_rat],inf
C(habit)[T.other],inf
C(habit)[T.other directions],inf
C(habit)[T.other_bat],inf
C(habit)[T.other_bats],inf
C(habit)[T.other_bats/rat],inf
C(habit)[T.others],inf
C(habit)[T.pick],inf
C(habit)[T.pick_and_all],inf
C(habit)[T.pick_and_bat],inf
C(habit)[T.pick_and_others],inf
C(habit)[T.pick_and_rat],inf
C(habit)[T.pick_bat],inf
C(habit)[T.pick_bat_rat],inf
C(habit)[T.pick_eating_all],inf
C(habit)[T.pick_rat],inf
C(habit)[T.pick_rat_and_bat],inf
C(habit)[T.pick_rat_bat],inf
C(habit)[T.pup_and_mon],2.001988528736841
C(habit)[T.rat],inf
C(habit)[T.rat attack],inf
C(habit)[T.rat_and_bat],inf
C(habit)[T.rat_and_bat_and_pick],inf
C(habit)[T.rat_and_no_food],inf
C(habit)[T.rat_and_others],inf
C(habit)[T.rat_and_pick],inf
C(habit)[T.rat_and_rat],inf
C(habit)[T.rat_attack],inf
C(habit)[T.rat_bat],inf
C(habit)[T.rat_bat_fight],inf
C(habit)[T.rat_disappear],inf
C(habit)[T.rat_pick],inf
C(habit)[T.rat_pick_and_bat],inf
C(habit)[T.rat_to_bat],inf
rat_activity_index,11.10612164846219
rat_minutes,11.389759756259126
rat_arrival_number,2.0984052593969515
food_availability,2.5307833176934773
hours_after_sunset,1.8640068334941993
food_x_season,1.8089299823422944
